,city,lat,long,temp,humidity,wind,cloudiness,country,date
0,saint george,37.1,-113.58,66.0,36,21.92,1,US,1586558716
1,puerto ayora,-0.74,-90.35,84.2,70,6.93,40,EC,1586558748
2,port alfred,-33.59,26.89,64.76,86,4.05,49,ZA,1586558507
3,pevek,69.7,170.31,6.08,88,22.95,100,RU,1586558508
4,leopold,-38.18,144.47,57.0,93,18.34,90,AU,1586558749
5,gawler,-34.6,138.73,63.0,59,17.22,40,AU,1586558749
6,kapaa,22.08,-159.32,80.6,54,14.99,1,US,1586558749
7,jamestown,42.1,-79.24,39.99,59,23.04,90,US,1586558521
8,tuatapere,-46.13,167.68,57.0,81,3.0,0,NZ,1586558749
9,ushuaia,-54.8,-68.3,44.6,73,18.34,75,AR,1586558505
10,coracora,-15.03,-73.78,51.84,29,2.44,5,PE,1586558749
11,punta arenas,-53.15,-70.92,44.6,75,9.17,75,CL,1586558749
12,albany,42.6,-73.97,44.6,52,24.16,75,US,1586558725
13,jutai,-5.18,-68.9,76.77,92,1.88,97,BR,1586558750
14,vila,42.03,-8.16,57.99,100,2.24,75,PT,1586558750
15,barrow,71.29,-156.79,-2.2,77,10.29,90,US,1586558750
16,det udom,14.91,105.08,80.6,83,9.17,100,TH,1586558750
17,port moresby,-9.44,147.18,82.4,83,3.36,40,PG,1586558475
18,livingston,55.9,-3.52,54.0,100,1.12,100,GB,1586558751
19,tiksi,71.69,128.87,23.34,93,26.69,68,RU,1586558751
20,qaanaaq,77.48,-69.36,5.74,76,7.27,28,GL,1586558751
21,kodiak,57.79,-152.41,39.2,69,10.29,1,US,1586558751
22,hobart,-42.88,147.33,55.0,81,6.93,75,AU,1586558751
23,yeppoon,-23.13,150.73,71.6,94,2.55,19,AU,1586558751
24,isangel,-19.55,169.27,78.8,69,4.7,20,VU,1586558752
25,rikitea,-23.12,-134.97,77.43,74,7.4,86,PF,1586558513
26,chuy,-33.7,-53.46,61.65,84,6.78,0,UY,1586558752
27,busselton,-33.65,115.33,66.99,52,11.79,64,AU,1586558752
28,butaritari,3.07,172.79,84.7,74,9.82,100,KI,1586558752
29,saint-philippe,-21.36,55.77,77.0,73,14.99,73,RE,1586558752
30,castro,-24.79,-50.01,55.06,63,3.33,27,BR,1586558752
31,mossendjo,-2.95,12.73,71.04,86,1.79,68,CG,1586558753
32,mataura,-46.19,168.86,57.0,81,3.0,0,NZ,1586558753
33,cape town,-33.93,18.42,62.01,93,6.93,63,ZA,1586558753
34,ndele,8.41,20.65,78.35,56,0.16,84,CF,1586558753
35,lugovskoy,56.96,64.53,37.4,69,6.71,0,RU,1586558753
36,vincennes,48.85,2.43,64.99,51,6.93,32,FR,1586558753
37,katobu,-4.94,122.53,81.0,80,1.5,35,ID,1586558753
38,san quintin,30.48,-115.95,61.03,66,11.61,28,MX,1586558753
39,hilo,19.73,-155.09,80.6,61,8.05,75,US,1586558754
40,la ligua,-32.45,-71.23,60.8,77,9.17,20,CL,1586558754
41,grajau,-5.82,-46.14,75.94,86,2.1,41,BR,1586558727
42,yellowknife,62.46,-114.35,19.0,61,16.11,75,CA,1586558717
43,kadoma,34.73,135.58,48.2,81,2.24,40,JP,1586558754
44,awjilah,29.11,21.29,56.17,63,9.46,2,LY,1586558754
